os_name,os_version,ip_checksum,ip_df,ip_hdr_length,ip_id,ip_mf,ip_off,ip_protocol,ip_rf,ip_tos,ip_total_length,ip_ttl,ip_version,tcp_ack,tcp_checksum,tcp_flags,tcp_header_length,tcp_mss,tcp_off,tcp_options,tcp_seq,tcp_timestamp,tcp_timestamp_echo_reply,tcp_urp,tcp_window_scaling,tcp_window_size
Android,7.0,19459,1,5,28405,0,16384,6,0,0,60,58,4,0,55375,2,20,1460,10,"M1460,S,T,N,W8,",3826024263,21500338,0,0,8,65535
Windows,10,33606,1,5,46164,0,16384,6,0,0,52,116,4,0,65245,2,20,1440,8,"M1440,N,W8,N,N,S,",3862161658,,,0,8,64240
Windows,10,31371,1,5,22721,0,16384,6,0,0,52,121,4,0,8863,2,20,1412,8,"M1412,N,W8,N,N,S,",1434677115,,,0,8,64240
Android,12,54833,1,5,6296,0,16384,6,0,0,60,54,4,0,5930,2,20,1452,10,"M1452,S,T,N,W8,",1711214435,2452297017,0,0,8,65535
Windows,10,50914,1,5,22863,0,16384,6,0,0,52,47,4,0,28196,2,20,1150,8,"M1150,N,W8,N,N,S,",1482199680,,,0,8,8192
Linux,x86_64,65236,1,5,10535,0,16384,6,0,0,60,42,4,0,47801,2,20,1460,10,"M1460,S,T,N,W7,",3436450031,3691566734,0,0,7,64240
Android,12,476,1,5,60653,0,16384,6,0,0,60,54,4,0,59160,2,20,1452,10,"M1452,S,T,N,W8,",4249498788,2452261274,0,0,8,65535
Android,12,476,1,5,60653,0,16384,6,0,0,60,54,4,0,59160,2,20,1452,10,"M1452,S,T,N,W8,",4249498788,2452261274,0,0,8,65535
Android,12,65351,1,5,61313,0,16384,6,0,0,60,54,4,0,17093,2,20,1452,10,"M1452,S,T,N,W8,",2296033469,2452235939,0,0,8,65535
Android,12,34314,1,5,45756,0,16384,6,0,0,60,55,4,0,584,2,20,1380,10,"M1380,S,T,N,W9,",3706296719,1268016385,0,0,9,65535
Windows,10,49326,1,5,51364,0,16384,6,0,0,52,112,4,0,36656,2,20,1440,8,"M1440,N,W8,N,N,S,",3693393854,,,0,8,64240
Android,12,61410,1,5,65254,0,16384,6,0,0,60,54,4,0,15052,2,20,1452,10,"M1452,S,T,N,W8,",290226800,2452280211,0,0,8,65535
Mac OS,10.15.7,21639,1,5,0,0,16384,6,0,0,64,50,4,0,15406,2,20,1460,11,"M1460,N,W6,N,N,T,S,E,E,",3216330138,2992926368,0,0,6,65535
Mac OS,10.15.7,26410,1,5,0,0,16384,6,0,0,64,55,4,0,39387,2,20,1460,11,"M1460,N,W6,N,N,T,S,E,E,",3340798055,305894105,0,0,6,65535
Windows,10,20365,1,5,29903,0,16384,6,0,0,60,112,4,0,33565,2,20,1150,10,"M1150,N,W2,S,T,",2520647022,1207992,0,0,2,8192
Windows,10,20365,1,5,29903,0,16384,6,0,0,60,112,4,0,33565,2,20,1150,10,"M1150,N,W2,S,T,",2520647022,1207992,0,0,2,8192
Mac OS,10.15.7,26410,1,5,0,0,16384,6,0,0,64,55,4,0,51409,2,20,1460,11,"M1460,N,W6,N,N,T,S,E,E,",4122102163,2655119382,0,0,6,65535
